CD_GEOCMU,Município,CodEstado,Estado,IDHM1991,IDHMR1991,IDHML1991,IDHME1991,R1991,IDHM2000,IDHMR2000,IDHML2000,IDHME2000,R2000,IDHM2010,IDHMR2010,IDHML2010,IDHME2010,R2010,NM_MUNNICIP
1100015,Alta Floresta D'Oeste,11,Rondônia,0.329,0.516,0.617,0.112,3619,0.483,0.617,0.698,0.262,3452,0.641,0.657,0.763,0.526,3275,ALTA FLORESTA D'OESTE
1100023,Ariquemes,11,Rondônia,0.432,0.593,0.684,0.199,1922,0.556,0.674,0.742,0.343,2408,0.702,0.716,0.806,0.600,1842,ARIQUEMES
1100031,Cabixi,11,Rondônia,0.309,0.430,0.636,0.108,3980,0.488,0.604,0.677,0.284,3381,0.650,0.650,0.757,0.559,3115,CABIXI
1100049,Cacoal,11,Rondônia,0.407,0.593,0.667,0.171,2360,0.567,0.650,0.745,0.377,2211,0.718,0.727,0.821,0.620,1362,CACOAL
1100056,Cerejeiras,11,Rondônia,0.386,0.547,0.629,0.167,2718,0.542,0.668,0.704,0.338,2633,0.692,0.688,0.799,0.602,2134,CEREJEIRAS
1100064,Colorado do Oeste,11,Rondônia,0.376,0.536,0.658,0.151,2870,0.545,0.629,0.710,0.362,2581,0.685,0.676,0.814,0.584,2309,COLORADO DO OESTE
1100072,Corumbiara,11,Rondônia,0.203,0.373,0.572,0.039,5377,0.401,0.539,0.649,0.185,4747,0.613,0.630,0.774,0.473,3847,CORUMBIARA
1100080,Costa Marques,11,Rondônia,0.425,0.553,0.629,0.220,2051,0.486,0.598,0.650,0.295,3409,0.611,0.616,0.751,0.493,3884,COSTA MARQUES
1100098,Espigão D'Oeste,11,Rondônia,0.388,0.561,0.653,0.159,2688,0.501,0.640,0.710,0.276,3214,0.672,0.691,0.819,0.536,2621,ESPIGÃO D'OESTE
1100106,Guajará-Mirim,11,Rondônia,0.468,0.625,0.662,0.247,1302,0.573,0.638,0.742,0.398,2085,0.657,0.663,0.823,0.519,2964,GUAJARÁ-MIRIM
1100114,Jaru,11,Rondônia,0.352,0.534,0.658,0.124,3244,0.514,0.626,0.710,0.305,3053,0.689,0.687,0.825,0.577,2199,JARU
1100122,Ji-Paraná,11,Rondônia,0.433,0.589,0.659,0.209,1901,0.564,0.676,0.713,0.373,2263,0.714,0.728,0.810,0.617,1486,JI-PARANÁ
1100130,Machadinho D'Oeste,11,Rondônia,0.286,0.533,0.591,0.074,4403,0.449,0.592,0.680,0.225,3944,0.596,0.629,0.755,0.446,4238,MACHADINHO D'OESTE
1100148,Nova Brasilândia D'Oeste,11,Rondônia,0.272,0.421,0.607,0.079,4649,0.459,0.583,0.660,0.251,3794,0.643,0.664,0.763,0.524,3234,NOVA BRASILÂNDIA D'OESTE
1100155,Ouro Preto do Oeste,11,Rondônia,0.382,0.570,0.629,0.155,2780,0.533,0.658,0.704,0.326,2771,0.682,0.687,0.812,0.569,2386,OURO PRETO DO OESTE
1100189,Pimenta Bueno,11,Rondônia,0.412,0.599,0.629,0.185,2269,0.573,0.666,0.704,0.402,2085,0.710,0.726,0.803,0.613,1595,PIMENTA BUENO
1100205,Porto Velho,11,Rondônia,0.495,0.660,0.633,0.290,848,0.613,0.697,0.704,0.469,1317,0.736,0.764,0.819,0.638,876,PORTO VELHO
1100254,Presidente Médici,11,Rondônia,0.348,0.507,0.647,0.128,3303,0.485,0.607,0.681,0.276,3427,0.664,0.671,0.792,0.550,2802,PRESIDENTE MÉDICI
